CCG19CD,CCG19NM,CTYUA19CD,CTYUA19NM,CCG_AREA_HA,CTYUA_AREA_HA,CCG_CTYUA_AREA_PROP,PCDS_IN_CCG,PCDS_IN_CTYUA,CCG_CTYUA_PCD_PROP
E38000087,NHS Isle of Wight CCG,E06000046,Isle of Wight,39200.74513,39282.94414,1,5090,5090,1
E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",E06000047,County Durham,170745.7773,223269.8645,0.76,9053,16078,0.563067546
E38000116,NHS North Durham CCG,E06000047,County Durham,52508.39368,223269.8645,0.24,7024,16078,0.436870257
E38000056,NHS Eastern Cheshire CCG,E06000049,Cheshire East,62536.3723,116635.738,0.54,6685,11857,0.563801974
E38000151,NHS South Cheshire CCG,E06000049,Cheshire East,54075.54423,116635.738,0.46,5172,11857,0.436198026
E38000189,NHS Vale Royal CCG,E06000050,Cheshire West and Chester,24843.70772,94120.7273,0.26,3249,10892,0.298292325
E38000196,NHS West Cheshire CCG,E06000050,Cheshire West and Chester,69249.49346,94120.7273,0.74,7643,10892,0.701707675
E38000147,NHS Shropshire CCG,E06000051,Shropshire,319683.5184,319727.5381,1,12449,12449,1
E38000089,NHS Kernow CCG,E06000052,Cornwall,361248.8124,361344.2432,1,21377,21377,1
E38000089,NHS Kernow CCG,E06000053,Isles of Scilly,2258.571137,2284.939145,0.99,94,94,1
E38000206,NHS Wiltshire CCG,E06000054,Wiltshire,325528.4052,325533.8124,1,16710,16710,1
E38000010,NHS Bedfordshire CCG,E06000055,Bedford,47636.77483,47640.82992,1,4658,4658,1
E38000010,NHS Bedfordshire CCG,E06000056,Central Bedfordshire,71554.51237,71566.53022,1,6460,6460,1
E38000130,NHS Northumberland CCG,E06000057,Northumberland,507771.9228,507818.0266,1,12718,12719,0.999921377
E38000035,NHS City and Hackney CCG,E09000001,City of London,313.6813776,314.938273,1,1709,1709,1
E38000004,NHS Barking and Dagenham CCG,E09000002,Barking and Dagenham,3774.643137,3779.932659,1,2943,2944,0.999660326
E38000005,NHS Barnet CCG,E09000003,Barnet,8670.135251,8674.832384,1,8874,8874,1
E38000011,NHS Bexley CCG,E09000004,Bexley,6423.601443,6428.645779,1,4382,4382,1
E38000027,NHS Camden CCG,E09000007,Camden,2177.178753,2178.929988,1,8152,8152,1
E38000040,NHS Croydon CCG,E09000008,Croydon,8644.967895,8649.443888,1,6942,6942,1
E38000048,NHS Ealing CCG,E09000009,Ealing,5548.90498,5554.434722,1,6428,6429,0.999844455
E38000057,NHS Enfield CCG,E09000010,Enfield,8216.672953,8220.018955,1,6241,6241,1
E38000066,NHS Greenwich CCG,E09000011,Greenwich,5032.400026,5044.194132,1,5034,5034,1
E38000020,NHS Brent CCG,E09000005,Brent,4320.351825,4323.264741,1,5765,5768,0.999479889
E38000023,NHS Bromley CCG,E09000006,Bromley,15005.94628,15013.48594,1,7240,7240,1
E38000035,NHS City and Hackney CCG,E09000012,Hackney,1903.360625,1904.903035,1,4478,4478,1
E38000070,NHS Hammersmith and Fulham CCG,E09000013,Hammersmith and Fulham,1713.7281,1715.406953,1,3634,3635,0.999724897
E38000072,NHS Haringey CCG,E09000014,Haringey,2956.670832,2959.838516,1,4354,4355,0.999770379
E38000074,NHS Harrow CCG,E09000015,Harrow,5044.665327,5046.330679,1,4920,4920,1
E38000077,NHS Havering CCG,E09000016,Havering,11441.48209,11445.72611,1,4946,4946,1
E38000082,NHS Hillingdon CCG,E09000017,Hillingdon,11565.10677,11570.05386,1,6139,6139,1
E38000084,NHS Hounslow CCG,E09000018,Hounslow,5655.011823,5658.544108,1,4914,4914,1
E38000088,NHS Islington CCG,E09000019,Islington,1484.025687,1485.665142,1,6461,6461,1
E38000202,NHS West London CCG,E09000020,Kensington and Chelsea,1237.003217,1238.379288,1,4351,4351,1
